Date,SPY,TLT,^VIX
2023-05-22,401.96856689453125,88.7599105834961,17.209999084472656
2023-05-23,397.4573059082031,89.01541137695312,18.530000686645508
2023-05-24,394.5778503417969,88.57486724853516,20.030000686645508
2023-05-25,397.99481201171875,88.35460662841797,19.139999389648438
2023-05-26,403.1491394042969,89.06828308105469,17.950000762939453
2023-05-30,403.3027038574219,89.95816040039062,17.459999084472656
2023-05-31,401.0663146972656,90.7423324584961,17.940000534057617
2023-06-01,404.8768310546875,91.09837341308594,15.649999618530273
2023-06-02,410.7318420410156,90.10009765625,14.600000381469727
2023-06-05,409.9447937011719,89.93225860595703,14.729999542236328
2023-06-06,410.8374328613281,90.46228790283203,13.960000038146973
2023-06-07,409.4168701171875,89.1194839477539,13.9399995803833
2023-06-08,411.8931884765625,90.16190338134766,13.649999618530273
2023-06-09,412.6322937011719,90.03825378417969,13.829999923706055
2023-06-12,416.3756408691406,90.30326843261719,15.010000228881836
2023-06-13,419.12078857421875,89.4110336303711,14.609999656677246
2023-06-14,419.6199035644531,90.12659454345703,13.880000114440918
2023-06-15,424.8221435546875,90.99234771728516,14.5
2023-06-16,423.3751220703125,90.63896942138672,13.539999961853027
2023-06-20,421.1785888671875,91.26619720458984,13.880000114440918
2023-06-21,419.02056884765625,91.487060546875,13.199999809265137
2023-06-22,420.5331726074219,90.3827896118164,12.90999984741211
2023-06-23,417.3538818359375,91.28386688232422,13.4399995803833
2023-06-26,415.6487121582031,91.38105773925781,14.25
2023-06-27,420.2055969238281,91.14251708984375,13.739999771118164
2023-06-28,420.41754150390625,91.53124237060547,13.430000305175781
2023-06-29,422.07452392578125,89.87923431396484,13.539999961853027
2023-06-30,427.0553283691406,90.93933868408203,13.59000015258789
2023-07-03,427.546630859375,90.42382049560547,13.569999694824219
2023-07-05,426.91082763671875,89.56454467773438,14.180000305175781
2023-07-06,423.5678405761719,88.29784393310547,15.4399995803833
2023-07-07,422.4984130859375,87.76637268066406,14.829999923706055
2023-07-10,423.5678405761719,87.88150787353516,15.069999694824219
2023-07-11,426.265380859375,88.3332748413086,14.84000015258789
2023-07-12,429.6950378417969,89.3165283203125,13.539999961853027
2023-07-13,433.10546875,90.2554702758789,13.609999656677246
2023-07-14,432.835693359375,89.7239990234375,13.34000015258789
2023-07-17,434.3386535644531,89.76829528808594,13.479999542236328
2023-07-18,437.5660095214844,90.17578125,13.300000190734863
2023-07-19,438.5390319824219,91.19444274902344,13.760000228881836
2023-07-20,435.62957763671875,90.087158203125,13.989999771118164
2023-07-21,435.62957763671875,90.11376953125,13.600000381469727
2023-07-24,437.5756530761719,89.78601837158203,13.90999984741211
2023-07-25,438.7702941894531,89.61768341064453,13.859999656677246
2023-07-26,438.8377380371094,89.7062759399414,13.1899995803833
2023-07-27,435.92822265625,87.96125030517578,14.40999984741211
2023-07-28,440.1961364746094,88.41299438476562,13.329999923706055
2023-07-31,441.0342712402344,88.62560272216797,13.630000114440918
2023-08-01,439.7721862792969,87.17329406738281,13.930000305175781
2023-08-02,433.6545715332031,86.24063110351562,16.09000015258789
2023-08-03,432.41180419921875,84.25093078613281,15.920000076293945
2023-08-04,430.4561462402344,85.74320220947266,17.100000381469727
2023-08-07,434.21337890625,84.89937591552734,15.770000457763672
2023-08-08,432.3251037597656,85.88533782958984,15.989999771118164
2023-08-09,429.4349365234375,86.3294448852539,15.960000038146973
2023-08-10,429.58905029296875,84.90824127197266,15.850000381469727
2023-08-11,429.3385925292969,84.71284484863281,14.84000015258789
2023-08-14,431.7085876464844,84.52628326416016,14.819999694824219
2023-08-15,426.67962646484375,84.0111312866211,16.459999084472656
2023-08-16,423.5485534667969,83.35379028320312,16.780000686645508
2023-08-17,420.3211975097656,82.99848175048828,17.889999389648438
2023-08-18,420.52349853515625,83.2916259765625,17.299999237060547
2023-08-21,423.259521484375,82.1812973022461,17.1299991607666
2023-08-22,422.11309814453125,82.8119888305664,16.969999313354492
2023-08-23,426.814453125,84.86381530761719,15.979999542236328
2023-08-24,420.8992614746094,84.30422973632812,17.200000762939453
2023-08-25,423.8664855957031,84.57958984375,15.680000305175781
2023-08-28,426.55438232421875,84.66844177246094,15.079999923706055
2023-08-29,432.72015380859375,85.54777526855469,14.449999809265137
2023-08-30,434.50244140625,85.45896911621094,13.880000114440918
2023-08-31,433.8665466308594,85.8409194946289,13.569999694824219
2023-09-01,434.67578125,84.50364685058594,13.09000015258789
2023-09-05,432.79718017578125,83.31874084472656,14.010000228881836
2023-09-06,429.8876953125,83.52365112304688,14.449999809265137
2023-09-07,428.5678405761719,83.75529479980469,14.399999618530273
2023-09-08,429.21331787109375,84.07601165771484,13.84000015258789
2023-09-11,432.0361633300781,83.4701919555664,13.800000190734863
2023-09-12,429.6661682128906,83.9512710571289,14.229999542236328
2023-09-13,430.1671142578125,83.93345642089844,13.479999542236328
2023-09-14,433.87615966796875,83.32762908935547,12.819999694824219
2023-09-15,428.6487121582031,82.81981658935547,13.789999961853027
2023-09-18,428.90008544921875,83.29200744628906,14.0
2023-09-19,428.0106201171875,82.67725372314453,14.109999656677246
2023-09-20,424.0757751464844,82.93563842773438,15.140000343322754
2023-09-21,417.06646728515625,80.80633544921875,17.540000915527344
2023-09-22,416.1287536621094,81.45671844482422,17.200000762939453
2023-09-25,417.87860107421875,79.45213317871094,16.899999618530273
2023-09-26,411.7394714355469,79.17594146728516,18.940000534057617
2023-09-27,411.9037780761719,78.76614379882812,18.219999313354492
2023-09-28,414.291748046875,79.0066909790039,17.34000015258789
2023-09-29,413.2863464355469,79.01558685302734,17.520000457763672
2023-10-02,413.12200927734375,77.69284057617188,17.610000610351562
2023-10-03,407.5918884277344,76.02155303955078,19.780000686645508
2023-10-04,410.5599365234375,77.09403991699219,18.579999923706055
2023-10-05,410.4052429199219,76.7097396850586,18.489999771118164
2023-10-06,415.2779541015625,75.78023529052734,17.450000762939453
2023-10-09,417.93658447265625,77.55878448486328,17.700000762939453
2023-10-10,420.11187744140625,77.4515380859375,17.030000686645508
2023-10-11,421.8327941894531,79.06922912597656,16.09000015258789
2023-10-12,419.2611389160156,76.92424011230469,16.690000534057617
2023-10-13,417.1728820800781,78.30060577392578,19.31999969482422
2023-10-16,421.5621032714844,77.0404052734375,17.209999084472656
2023-10-17,421.5427551269531,76.19136810302734,17.8799991607666
2023-10-18,415.9256896972656,75.52105712890625,19.219999313354492
2023-10-19,412.2711486816406,73.97486877441406,21.399999618530273
2023-10-20,407.2051086425781,74.39495849609375,21.709999084472656
2023-10-23,406.4993591308594,75.2886962890625,20.3700008392334
2023-10-24,409.5641784667969,76.28073120117188,18.969999313354492
2023-10-25,403.6860046386719,74.58263397216797,20.190000534057617
2023-10-26,398.85198974609375,75.72662353515625,20.68000030517578
