train_sharpe,train_annual_return,train_crisis_return,z,th,sw,sth,ddw,ddt,cw,val_sharpe,val_annual_return,val_crisis_return,selection_score
0.39721114821909603,0.05233012310910978,0.0081651613261704,10,1.5,20,-0.03,50,-0.03,0.2,0.8582053734869373,0.13124250124791126,-0.5349921648541178,0.28196259190213574
0.3946890701393604,0.05189832473440492,0.00713710988528482,10,1.5,20,-0.03,50,-0.03,0.3,0.8579042224140893,0.13115456597077046,-0.5224631171083203,0.2788852820706782
0.391676027092908,0.051383997042932394,0.005894786174535982,10,1.5,20,-0.03,50,-0.03,0.4,0.8581091927767747,0.1311637557314429,-0.5084784215454421,0.2750677356719413
0.39721114821909603,0.05233012310910978,0.0081651613261704,10,1.5,20,-0.03,50,-0.05,0.2,0.8582053734869373,0.13124250124791126,-0.5349921648541178,0.28196259190213574
0.3946890701393604,0.05189832473440492,0.00713710988528482,10,1.5,20,-0.03,50,-0.05,0.3,0.8579042224140893,0.13115456597077046,-0.5224631171083203,0.2788852820706782
0.391676027092908,0.051383997042932394,0.005894786174535982,10,1.5,20,-0.03,50,-0.05,0.4,0.8581091927767747,0.1311637557314429,-0.5084784215454421,0.2750677356719413
0.3970764219644059,0.052311891228500995,0.0076508757565589836,10,1.5,20,-0.03,100,-0.03,0.2,0.8576697687888273,0.1311391312814736,-0.5350780889561404,0.28192808525830054
0.3943187018397735,0.05183992889759215,0.006516681807718028,10,1.5,20,-0.03,100,-0.03,0.3,0.8576277528644997,0.13109749493842515,-0.5223749413752925,0.278491439083592
0.391483843264762,0.051355310441251634,0.005355938957297912,10,1.5,20,-0.03,100,-0.03,0.4,0.8579332160182217,0.13112470843804447,-0.5081900898268324,0.27487150007639705
0.3970764219644059,0.052311891228500995,0.0076508757565589836,10,1.5,20,-0.03,100,-0.05,0.2,0.8576697687888273,0.1311391312814736,-0.5350780889561404,0.28192808525830054
0.3943187018397735,0.05183992889759215,0.006516681807718028,10,1.5,20,-0.03,100,-0.05,0.3,0.8576277528644997,0.13109749493842515,-0.5223749413752925,0.278491439083592
0.391483843264762,0.051355310441251634,0.005355938957297912,10,1.5,20,-0.03,100,-0.05,0.4,0.8579332160182217,0.13112470843804447,-0.5081900898268324,0.27487150007639705
0.39766326071923674,0.05240840051055318,0.008173962343420271,10,1.5,20,-0.05,50,-0.03,0.2,0.852805695175153,0.13028801911930077,-0.5513188794624619,0.28387765210525767
0.39541179686958794,0.052023217529038934,0.007161039748561748,10,1.5,20,-0.05,50,-0.03,0.3,0.8505337444093607,0.12985631273722875,-0.5475970775325003,0.28163130998464475
0.392990212941364,0.051609684873168415,0.0060735364765891475,10,1.5,20,-0.05,50,-0.03,0.4,0.8483735738363524,0.1294521172609404,-0.5435635205015183,0.2791443727176169
0.39766326071923674,0.05240840051055318,0.008173962343420271,10,1.5,20,-0.05,50,-0.05,0.2,0.852805695175153,0.13028801911930077,-0.5513188794624619,0.28387765210525767
0.39541179686958794,0.052023217529038934,0.007161039748561748,10,1.5,20,-0.05,50,-0.05,0.3,0.8505337444093607,0.12985631273722875,-0.5475970775325003,0.28163130998464475
0.392990212941364,0.051609684873168415,0.0060735364765891475,10,1.5,20,-0.05,50,-0.05,0.4,0.8483735738363524,0.1294521172609404,-0.5435635205015183,0.2791443727176169
0.3976879907286372,0.0524178120910026,0.007734905038774054,10,1.5,20,-0.05,100,-0.03,0.2,0.8525058846678506,0.13022730070905597,-0.5511706955939266,0.28398351724383386
0.3952230181008776,0.05199638847714105,0.006626215021954485,10,1.5,20,-0.05,100,-0.03,0.3,0.850355599791487,0.1298171945322837,-0.5472747563378634,0.2814398726782253
0.3926200974915622,0.051552084601598436,0.005457825089860702,10,1.5,20,-0.05,100,-0.03,0.4,0.8482375681208235,0.12942051782650088,-0.5432179875045181,0.27871572983424686
0.3976879907286372,0.0524178120910026,0.007734905038774054,10,1.5,20,-0.05,100,-0.05,0.2,0.8525058846678506,0.13022730070905597,-0.5511706955939266,0.28398351724383386
0.3952230181008776,0.05199638847714105,0.006626215021954485,10,1.5,20,-0.05,100,-0.05,0.3,0.850355599791487,0.1298171945322837,-0.5472747563378634,0.2814398726782253
0.3926200974915622,0.051552084601598436,0.005457825089860702,10,1.5,20,-0.05,100,-0.05,0.4,0.8482375681208235,0.12942051782650088,-0.5432179875045181,0.27871572983424686
0.3987857209731603,0.05259749964967453,0.008702492783031257,10,1.5,40,-0.03,50,-0.03,0.2,0.8527014999195724,0.13026876137758636,-0.5517855831429364,0.28530677623655726
0.39681397242984984,0.05225903392577114,0.007850651239581952,10,1.5,40,-0.03,50,-0.03,0.3,0.8497706076724744,0.12971749925852327,-0.5486007186129082,0.2835748136191937
0.3942590871558169,0.051822799280810905,0.0067063441072607866,10,1.5,40,-0.03,50,-0.03,0.4,0.847363732466918,0.12926716291142837,-0.5445593252922365,0.28098292582804163
0.3987857209731603,0.05259749964967453,0.008702492783031257,10,1.5,40,-0.03,50,-0.05,0.2,0.8527014999195724,0.13026876137758636,-0.5517855831429364,0.28530677623655726
0.39681397242984984,0.05225903392577114,0.007850651239581952,10,1.5,40,-0.03,50,-0.05,0.3,0.8497706076724744,0.12971749925852327,-0.5486007186129082,0.2835748136191937
0.3942590871558169,0.051822799280810905,0.0067063441072607866,10,1.5,40,-0.03,50,-0.05,0.4,0.847363732466918,0.12926716291142837,-0.5445593252922365,0.28098292582804163
0.3984329537412647,0.05254331983541105,0.008082015215298943,10,1.5,40,-0.03,100,-0.03,0.2,0.8519785410372925,0.13013216114831927,-0.5523520075726425,0.2850465569172577
0.39609425691226935,0.05214277701926262,0.0070635924090971525,10,1.5,40,-0.03,100,-0.03,0.3,0.8492170952414188,0.12961133369028244,-0.5490914277925818,0.282813547329982
